stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
A32,2024-05-11,,,3500.0,0.1,0.95,,,5.54,,
AAA,2024-05-11,1000.0,2.23,,,1.49,967.0,8.55,8.39,15896.0,0.52
AAH,2024-05-11,,,,,1.65,100.0,35.42,9.48,10100.0,0.35
AAM,2024-05-11,,0.92,,,-0.01,-511.0,-12.7,80.12,18914.0,0.34
AAS,2024-05-11,,1.04,,,1.77,339.0,19.76,6.42,10837.0,0.62
AAT,2024-05-11,,0.82,,,0.74,257.0,13.1,23.87,10117.0,0.33
AAV,2024-05-11,,0.1,,,1.55,-140.0,-44.92,17.39,11201.0,0.56
ABB,2024-05-11,,16.41,,,0.64,67.0,112.14,7.8,12759.0,0.59
ABC,2024-05-11,,0.91,500.0,0.05,1.74,1551.0,6.6,7.24,24214.0,0.42
ABI,2024-05-11,7000.0,9.88,1000.0,0.04,1.08,2394.0,10.63,5.76,21353.0,1.19
ABR,2024-05-11,,48.4,2000.0,0.14,0.62,584.0,24.67,16.59,14474.0,0.99
ABS,2024-05-11,,,,,0.97,52.0,71.22,14.92,11513.0,0.32
ABT,2024-05-11,,2.29,2000.0,0.05,0.09,6431.0,6.14,7.58,44535.0,0.89
ABW,2024-05-11,,0.53,,,1.34,1016.0,8.53,7.01,14023.0,0.62
ACB,2024-05-11,,30.0,1000.0,0.04,0.94,3992.0,6.2,6.28,17654.0,1.4
ACC,2024-05-11,,7.7,,,0.97,646.0,20.65,12.62,12588.0,1.06
ACE,2024-05-11,,0.23,3500.0,0.1,0.5,2069.0,17.48,8.62,20029.0,1.81
ACG,2024-05-11,,38.54,1500.0,0.04,0.85,3263.0,12.81,14.32,27898.0,1.5
ACL,2024-05-11,,2.27,,,0.26,202.0,59.08,7.49,16100.0,0.74
ACM,2024-05-11,,1.9,,,1.49,-296.0,-1.69,8.5,6575.0,0.08
ACS,2024-05-11,,,,,0.27,,,16.75,,
ACV,2024-05-11,6000.0,3.68,,,1.48,4613.0,24.67,26.42,26223.0,4.34
ADC,2024-05-11,,,1500.0,0.08,0.19,3562.0,5.61,4.14,19715.0,1.01
ADG,2024-05-11,,46.44,,,-0.06,1230.0,9.31,4.58,17034.0,0.67
ADP,2024-05-11,,0.83,4150.0,0.15,0.4,3934.0,7.22,13.63,11800.0,2.41
ADS,2024-05-11,,0.15,1000.0,0.11,1.38,433.0,20.78,6.25,12055.0,0.75
AFX,2024-05-11,,,,,0.62,922.0,7.92,6.85,13319.0,0.55
AG1,2024-05-11,,,230.0,0.02,0.43,422.0,23.68,5.4,10038.0,1.0
AGF,2024-05-11,,0.47,,,0.24,-95.0,-27.39,14.62,-6510.0,-0.4
AGG,2024-05-11,5900.0,0.94,,,1.36,2253.0,6.9,4.86,19924.0,0.78
AGM,2024-05-11,,0.56,,,0.58,-14767.0,-0.23,12.48,-5250.0,-0.65
AGP,2024-05-11,,,,,0.11,2040.0,19.02,15.48,16654.0,2.33
AGR,2024-05-11,,0.27,700.0,0.04,1.89,585.0,30.26,20.61,11241.0,1.57
AGX,2024-05-11,,1.74,1500.0,0.02,0.43,,,8.43,,
AIC,2024-05-11,100.0,75.11,,,1.12,-34.0,-340.44,35.67,10759.0,1.07
ALT,2024-05-11,,,1000.0,0.07,0.16,-262.0,-54.22,12.49,37018.0,0.38
ALV,2024-05-11,,0.34,,,1.41,-233.0,-25.21,5.96,11280.0,0.52
AMC,2024-05-11,,2.84,1300.0,0.08,0.14,2173.0,7.41,7.39,18084.0,0.89
AMD,2024-05-11,,0.72,,,,-782.0,-1.41,8.99,10588.0,0.1
AME,2024-05-11,,2.24,,,0.59,328.0,15.55,14.54,12214.0,0.42
AMP,2024-05-11,,,,,0.9,278.0,32.4,18.5,13863.0,0.65
AMS,2024-05-11,,35.47,300.0,0.03,2.09,1134.0,8.43,6.85,13358.0,0.72
AMV,2024-05-11,,,,,1.06,-445.0,-3.82,4.46,12403.0,0.14
ANT,2024-05-11,,,,,0.63,3330.0,6.63,11.61,15725.0,1.4
ANV,2024-05-11,311100.0,1.2,500.0,0.02,1.64,464.0,70.91,14.36,21470.0,1.53
APC,2024-05-11,,15.02,,,,-1019.0,-6.38,134.1,28639.0,0.23
APF,2024-05-11,,,4500.0,0.08,0.46,6614.0,8.12,10.65,37627.0,1.43
APG,2024-05-11,,9.33,,,1.31,-300.0,-30.62,8.61,10887.0,0.85
APH,2024-05-11,61200.0,28.47,,,1.29,230.0,26.77,4.79,10058.0,0.61
API,2024-05-11,30100.0,0.77,,,2.39,-558.0,-13.63,16.82,10709.0,0.71
