stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
AAA,2024-12-05,52300,2.48,0,0,1.40,967,9.04,8.86,15896,0.55
AAS,2024-12-05,100,0.94,0,0,2.05,339,17.62,5.73,10837,0.55
AAM,2024-12-05,0,0.92,0,0,0.06,-511,-12.91,81.48,18914,0.35
A32,2024-12-05,0,0,3500,0.10,0.85,0,0,5.74,0,0
AAH,2024-12-05,0,0,0,0,1.81,100,35.06,9.38,10100,0.35
AAT,2024-12-05,0,0.82,0,0,0.71,257,13.10,23.87,10117,0.33
ABC,2024-12-05,0,0.91,500,0.04,1.45,1551,7.31,8.01,24214,0.47
AAV,2024-12-05,10800,0.10,0,0,1.19,-140,-54.19,20.97,11201,0.68
ABB,2024-12-05,0,16.41,0,0,0.63,67,108.54,7.55,12759,0.57
ABI,2024-12-05,0,10.13,1000,0.04,0.99,2394,10.87,8.33,21353,1.22
ABR,2024-12-05,0,48.40,2000,0.15,0.51,584,22.62,15.20,14474,0.91
ABT,2024-12-05,0,2.32,2000,0.05,0.06,6431,6.21,7.66,44535,0.90
ABS,2024-12-05,0,0,0,0,1.06,52,73.13,15.32,11513,0.33
ABW,2024-12-05,0,0.70,0,0,1.73,1016,7.84,6.44,14023,0.57
ACB,2024-12-05,0,30,1000,0.04,0.98,3992,6.28,6.36,17654,1.42
ACE,2024-12-05,0,0.23,3500,0.10,0.14,2069,17.31,8.54,20029,1.79
ACC,2024-12-05,0,7.70,0,0,0.94,646,21.27,12.99,12588,1.09
ACG,2024-12-05,0,38.55,1600,0.04,0.66,3263,12.40,13.86,27898,1.45
ACS,2024-12-05,0,0,0,0,-0.38,0,0,17.25,0,0
ACV,2024-12-05,122500,3.67,0,0,1.21,4613,26.56,28.45,26223,4.67
ADC,2024-12-05,0,0,1500,0.07,0.19,3562,5.73,4.23,19715,1.03
ADG,2024-12-05,0,46.35,0,0,0.20,1230,8.58,4.22,17034,0.62
ADP,2024-12-05,0,0.84,4250,0.15,0.27,3934,7.37,13.92,11800,2.46
AG1,2024-12-05,0,0,230,0.02,0.68,422,25.26,5.77,10038,1.06
AFX,2024-12-05,0,0,0,0,0.49,922,7.87,6.80,13319,0.54
AGG,2024-12-05,13900,0.98,0,0,1.29,2253,7.06,4.97,19924,0.80
AGF,2024-12-05,0,0.47,0,0,0.15,-95,-23.18,12.37,-6510,-0.34
AGM,2024-12-05,0,0.56,0,0,0.59,-14767,-0.22,11.94,-5250,-0.62
AGP,2024-12-05,0,0,0,0,0.23,2040,19.11,15.56,16654,2.34
AGR,2024-12-05,21300,0.27,700,0.04,1.96,585,28.55,19.44,11241,1.49
ACM,2024-12-05,0,1.90,0,0,1.90,-296,-2.03,10.20,6575,0.09
AIC,2024-12-05,0,75.11,0,0,1.49,-34,-378.27,39.63,10759,1.19
AGX,2024-12-05,0,1.72,1500,0.02,0.21,0,0,8.55,0,0
ACL,2024-12-05,0,2.26,0,0,0.26,202,55.62,7.05,16100,0.70
AMC,2024-12-05,0,2.86,1300,0.08,-0.01,2173,7.18,7.16,18084,0.86
ALV,2024-12-05,0,0.34,0,0,0.79,-233,-25.29,5.97,11280,0.52
ADS,2024-12-05,0,0.14,1000,0.11,1.12,433,20.80,6.25,12055,0.75
AME,2024-12-05,0,2.24,0,0,0.64,328,14.63,13.69,12214,0.39
AMS,2024-12-05,0,35.46,300,0.03,1.39,1134,8.26,6.71,13358,0.70
AMD,2024-12-05,0,0.72,0,0,0,-782,-1.41,8.99,10588,0.10
AMP,2024-12-05,0,0,0,0,1.98,278,48.47,27.71,13863,0.97
AMV,2024-12-05,0,0,0,0,0.91,-445,-3.37,3.93,12403,0.12
APC,2024-12-05,0,15.02,0,0,0.13,-1019,-6.28,132.04,28639,0.22
ANV,2024-12-05,203600,1.42,500,0.03,1.70,464,39.12,7.92,21470,0.85
ANT,2024-12-05,0,0,0,0,0.16,3330,5.87,10.28,15725,1.24
APF,2024-12-05,0,0,4500,0.09,0.44,6614,7.98,10.47,37627,1.40
APH,2024-12-05,10000,28.14,0,0,1.02,511,13.72,5.44,24122,0.29
API,2024-12-05,52300,0.73,0,0,2.17,-558,-14.35,17.70,10709,0.75
APP,2024-12-05,0,0.47,0,0,1.25,-685,-13.04,12.05,10089,0.88
APL,2024-12-05,0,0,1200,0.07,-0.12,0,0,8.11,0,0
ARM,2024-12-05,0,0.11,1000,0.05,0.93,974,21.14,14,12044,1.71
APT,2024-12-05,0,0,0,0,0.49,-2698,-1,3.71,-7606,-0.36
ALT,2024-12-05,0,0,1000,0.08,0.42,-262,-48.11,11.08,37018,0.34
APS,2024-12-05,0,1.01,0,0,1.88,550,11.81,11.01,10006,0.65
APG,2024-12-05,6000,9.33,0,0,0.95,-300,-29.95,8.42,10887,0.83
ART,2024-12-05,0,0.66,0,0,0,-247,-5.25,6.01,1391,0.93
ASG,2024-12-05,0,0.73,0,0,0.28,396,46.85,72.71,22369,0.83
ASM,2024-12-05,59700,12.43,0,0,1.30,615,14.07,4.01,21836,0.40
ASA,2024-12-05,0,0.25,0,0,0,18,697.29,15.75,0,0
ASP,2024-12-05,0,48.97,0,0,0.37,196,20.52,16.68,7668,0.52
AST,2024-12-05,4500,43.53,2700,0.05,0.23,3016,17.71,10.45,14435,3.70
ATA,2024-12-05,0,0.05,0,0,2.91,60,10.08,0.24,-25217,-0.02
AVC,2024-12-05,0,0,9084,0.17,0.12,3154,17.28,34.79,14976,3.64
ATG,2024-12-05,0,0.09,0,0,0.50,-50,-38.15,57.84,41,46.34
ATB,2024-12-05,0,0.06,0,0,1.51,-247,-2.83,3.04,2292,0.31
ATS,2024-12-05,0,0.15,0,0,-0.36,51,229.73,8.19,12452,0.94
AVF,2024-12-05,0,0.21,0,0,0,-2388,-0.17,1.16,-45240,-0.01
BAB,2024-12-05,0,0,0,0,0.55,1213,9.65,9.53,12748,0.92
BAF,2024-12-05,307500,2.35,0,0,0.84,1104,22.47,19.38,11857,2.09
AVG,2024-12-05,0,0.07,0,0,1.59,727,29.57,30.78,16336,1.32
BBC,2024-12-05,0,0.72,1500,0.03,0.11,7085,7.40,8.90,78292,0.67
BAL,2024-12-05,0,0.08,700,0.08,0.21,0,0,18.12,0,0
BBH,2024-12-05,0,0,200,0.02,-0.28,0,0,49.11,0,0
BAX,2024-12-05,0,16.40,2500,0.06,-0.22,3610,11.25,16.06,26963,1.51
BBS,2024-12-05,0,0.53,900,0.08,0.18,1423,7.59,15.08,17721,0.61
BBM,2024-12-05,0,0.28,200,0.03,-0.42,1448,5.11,25.92,13753,0.54
BBT,2024-12-05,0,0.80,0,0,-0.26,-2060,-6.54,15.50,7233,1.86
BCC,2024-12-05,0,0.91,0,0,0.95,-1082,-6.93,5.82,14097,0.53
BCB,2024-12-05,0,0,2919,4.17,0,28,24.84,0.20,10028,0.07
BCA,2024-12-05,0,0,0,0,2.46,20691,0.50,19.60,28219,0.37
BCG,2024-12-05,450200,1.29,0,0,1.31,341,18.17,5.73,24196,0.26
BCE,2024-12-05,0,1.23,0,0,0.58,-240,-29.14,9.50,8827,0.79
BCF,2024-12-05,0,0,2800,0.07,-0.48,3069,13.36,17.37,12222,3.35
BCO,2024-12-05,0,0,0,0,0,0,0,10.32,0,0
BCM,2024-12-05,114700,2.09,1000,0.02,1.15,2796,23.32,28.72,19392,3.36
BCP,2024-12-05,0,3.26,0,0,0.42,77,138.58,106.38,12606,0.85
BCR,2024-12-05,0,0.01,0,0,1.84,210,23.45,5.51,12713,0.39
BDT,2024-12-05,0,0.13,648,0.09,1.04,152,47.62,26.90,14226,0.51
BDG,2024-12-05,0,1.42,2500,0.08,0.43,5882,5.64,8.75,23059,1.44
BDW,2024-12-05,0,0.05,2550,0.10,0.14,3294,7.94,6.82,16175,1.62
BCV,2024-12-05,0,0,0,0,0,194,111.09,30.71,11704,1.84
BED,2024-12-05,0,0,2200,0.07,-0.02,2128,14.47,17.33,13691,2.25
BDB,2024-12-05,0,0,800,0.10,0.24,648,12.19,7.42,11858,0.67
BEL,2024-12-05,0,0,1000,0.03,0.15,3,11870.50,36,8268,3.99
