trading_date,stock_code,reference_price,opening_price,closing_price,highest_price,lowest_price,average_price,price_change,price_change_percentage,matched_orders_volume,matched_orders_value,total_trading_volume,total_trading_value,market_capitalization
2024-11-14,VN-Index,1246.04,1243.85,1231.89,1247.07,1231.69,0.0,-14.15,-1.14,555483300,13572699,692587426,16131672,5084001832
2024-11-13,VN-Index,1244.82,1243.19,1246.04,1247.04,1234.62,0.0,1.22,0.1,587703600,13716347,660546839,15335355,5139485176
2024-11-12,VN-Index,1250.32,1251.79,1244.82,1257.02,1242.91,0.0,-5.5,-0.44,516346200,12529327,600650740,14222173,5129471331
2024-11-11,VN-Index,1252.56,1253.81,1250.32,1253.87,1241.29,0.0,-2.24,-0.18,712083900,17618997,796476224,19616785,5152124689
2024-11-08,VN-Index,1259.75,1262.84,1252.56,1264.09,1250.77,0.0,-7.19,-0.57,503245100,12559732,555502136,13911276,5161584865
2024-11-07,VN-Index,1261.28,1266.61,1259.75,1267.09,1259.75,0.0,-1.53,-0.12,470366800,11434003,499262878,12480893,5191897346
2024-11-06,VN-Index,1245.76,1251.22,1261.28,1262.44,1250.57,0.0,15.52,1.25,502638900,12105968,566907624,14185533,5201834872
2024-11-05,VN-Index,1244.71,1244.85,1245.76,1248.97,1243.55,0.0,1.05,0.08,332629000,8185266,416244646,10968692,5136194299
2024-11-04,VN-Index,1254.89,1255.92,1244.71,1256.96,1242.36,0.0,-10.18,-0.81,588219400,13369068,709673109,15854300,5131898434
2024-11-01,VN-Index,1264.48,1262.39,1254.89,1264.67,1254.33,0.0,-9.59,-0.76,537480700,13586914,580509631,14790376,5173895846
2024-10-31,VN-Index,1258.63,1260.23,1264.48,1267.88,1255.55,0.0,5.85,0.46,469095100,10970862,614271168,18053362,5213303608
2024-10-30,VN-Index,1261.78,1263.57,1258.63,1264.84,1255.07,0.0,-3.15,-0.25,475263400,11175265,536846200,12700125,5189242295
2024-10-29,VN-Index,1254.77,1258.03,1261.78,1262.38,1257.43,0.0,7.01,0.56,490901600,11648541,875048711,18820167,5202163092
2024-10-28,VN-Index,1252.72,1252.76,1254.77,1255.18,1250.94,0.0,2.05,0.16,400523500,9219129,482689840,10863133,5173375062
2024-10-25,VN-Index,1257.41,1260.94,1252.72,1261.72,1251.75,0.0,-4.69,-0.37,525132900,12428553,569100886,13783998,5164769361
2024-10-24,VN-Index,1270.9,1271.17,1257.41,1274.11,1257.41,0.0,-13.49,-1.06,592565400,14082683,673137040,15980789,5179993866
2024-10-23,VN-Index,1269.89,1270.58,1270.9,1273.21,1263.26,0.0,1.01,0.08,535847500,12862649,589858241,14051387,5231094688
2024-10-22,VN-Index,1279.77,1280.21,1269.89,1280.21,1265.44,0.0,-9.88,-0.77,728503100,17539939,793916700,19090663,5226985672
2024-10-21,VN-Index,1285.46,1284.17,1279.77,1287.71,1279.77,0.0,-5.69,-0.44,580256800,13494896,622809008,14347215,5271251699
2024-10-18,VN-Index,1286.52,1291.16,1285.46,1294.1,1285.46,0.0,-1.06,-0.08,607857500,13915765,689070733,15384819,5294755076
