cat_id,exchange,industry_name,code,name,url
5,UPCoM,Hàng tiêu dùng và trang trí,A32,CTCP 32,https://finance.vietstock.vn/A32-ctcp-32.htm
1,HOSE,Nguyên vật liệu,AAA,CTCP Nhựa An Phát Xanh,https://finance.vietstock.vn/AAA-ctcp-nhua-an-phat-xanh.htm
5,UPCoM,Năng lượng,AAH,CTCP Hợp Nhất,https://finance.vietstock.vn/AAH-ctcp-hop-nhat.htm
1,HOSE,"Thực phẩm, đồ uống và thuốc lá",AAM,CTCP Thủy sản MeKong,https://finance.vietstock.vn/AAM-ctcp-thuy-san-mekong.htm
5,UPCoM,Dịch vụ tài chính,AAS,CTCP Chứng khoán SmartInvest ,https://finance.vietstock.vn/AAS-ctcp-chung-khoan-smartinvest.htm
1,HOSE,Hàng tiêu dùng và trang trí,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,https://finance.vietstock.vn/AAT-ctcp-tap-doan-tien-son-thanh-hoa.htm
2,HNX,Phát triển và quản lý bất động sản,AAV,CTCP AAV Group,https://finance.vietstock.vn/AAV-ctcp-aav-group.htm
5,UPCoM,Tổ chức tín dụng,ABB,Ngân hàng TMCP An Bình,https://finance.vietstock.vn/ABB-ngan-hang-tmcp-an-binh.htm
5,UPCoM,Dịch vụ viễn thông,ABC,CTCP Truyền thông VMG,https://finance.vietstock.vn/ABC-ctcp-truyen-thong-vmg.htm
5,UPCoM,Bảo hiểm,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,https://finance.vietstock.vn/ABI-ctcp-bao-hiem-ngan-hang-nong-nghiep-viet-nam.htm
1,HOSE,Dịch vụ viễn thông,ABR,CTCP Đầu tư Nhãn hiệu Việt,https://finance.vietstock.vn/ABR-ctcp-dau-tu-nhan-hieu-viet.htm
1,HOSE,Nguyên vật liệu,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,https://finance.vietstock.vn/ABS-ctcp-dich-vu-nong-nghiep-binh-thuan.htm
1,HOSE,"Thực phẩm, đồ uống và thuốc lá",ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,https://finance.vietstock.vn/ABT-ctcp-xuat-nhap-khau-thuy-san-ben-tre.htm
5,UPCoM,Dịch vụ tài chính,ABW,CTCP Chứng khoán An Bình,https://finance.vietstock.vn/ABW-ctcp-chung-khoan-an-binh.htm
1,HOSE,Tổ chức tín dụng,ACB,Ngân hàng TMCP Á Châu,https://finance.vietstock.vn/ACB-ngan-hang-tmcp-a-chau.htm
1,HOSE,Nguyên vật liệu,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,https://finance.vietstock.vn/ACC-ctcp-dau-tu-va-xay-dung-binh-duong-acc.htm
5,UPCoM,Nguyên vật liệu,ACE,CTCP Bê tông Ly tâm An Giang,https://finance.vietstock.vn/ACE-ctcp-be-tong-ly-tam-an-giang.htm
1,HOSE,Nguyên vật liệu,ACG,CTCP Gỗ An Cường,https://finance.vietstock.vn/ACG-ctcp-go-an-cuong.htm
1,HOSE,"Thực phẩm, đồ uống và thuốc lá",ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,https://finance.vietstock.vn/ACL-ctcp-xuat-nhap-khau-thuy-san-cuu-long-an-giang.htm
5,UPCoM,Nguyên vật liệu,ACM,CTCP Tập đoàn Khoáng sản Á Cường,https://finance.vietstock.vn/ACM-ctcp-tap-doan-khoang-san-a-cuong.htm
5,UPCoM,Tư liệu sản xuất,ACS,CTCP Xây lắp Thương mại 2,https://finance.vietstock.vn/ACS-ctcp-xay-lap-thuong-mai-2.htm
5,UPCoM,Vận tải,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,https://finance.vietstock.vn/ACV-tong-cong-ty-cang-hang-khong-viet-nam-ctcp.htm
2,HNX,Truyền thông và giải trí,ADC,CTCP Mỹ thuật và Truyền thông,https://finance.vietstock.vn/ADC-ctcp-my-thuat-va-truyen-thong.htm
1,HOSE,Truyền thông và giải trí,ADG,CTCP Clever Group,https://finance.vietstock.vn/ADG-ctcp-clever-group.htm
