Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,237000000,237000000,24000,27600,20400,111472,2664,5641,24300,23800,24300,23700,600,23899,23800,-200.0,-0.83,2359,1727,419328,128628.0,111472,2664,225,139,86,530800,240100,290700,-,
26/09/2024,237000000,237000000,24300,27900,20700,143969,3455,5688,24300,24000,24300,23800,500,23999,24000,-300.0,-1.23,2078,2009,354831,177431.0,143969,3455,240,160,80,498800,321400,177400,-,
25/09/2024,237000000,237000000,24900,28600,21200,272332,6622,5735,25300,24200,25300,24000,1300,24315,24200,-700.0,-2.81,739,2811,40168,236368.0,272332,6622,423,181,242,312500,508700,-196200,-,
24/09/2024,237000000,237000000,25300,29000,21600,404105,10328,5901,25600,24900,25600,24700,900,24935,24900,-400.0,-1.58,756,1732,46495,89895.0,168105,4192,284,149,135,214600,258000,-43400,236000,6136.0
23/09/2024,237000000,237000000,25600,29400,21800,55488,1406,5972,25900,25200,25900,25000,900,25347,25200,-400.0,-1.56,633,1340,32512,117412.0,55488,1406,139,129,10,88000,172900,-84900,-,
20/09/2024,237000000,237000000,25900,29700,22100,125621,3219,6067,26000,25600,26000,25400,600,25627,25600,-300.0,-1.16,761,1406,28779,121879.0,125621,3219,203,176,27,154400,247500,-93100,-,
19/09/2024,237000000,237000000,26200,30100,22300,63011,1633,6162,26200,26000,26500,25600,900,25920,26000,-200.0,-0.76,629,1034,33289,91089.0,63011,1633,153,149,4,96300,154100,-57800,-,
18/09/2024,237000000,237000000,25700,29500,21900,310655,7901,6209,25600,26200,26500,25600,900,26219,26200,500.0,1.95,940,1047,46245,132145.0,110655,2901,167,232,-65,156900,242800,-85900,200000,5000.0
17/09/2024,237000000,237000000,25500,29300,21700,100741,2592,6115,25600,25800,26000,25500,500,25732,25800,300.0,1.18,1036,1577,24659,118459.0,100741,2592,121,139,-18,125400,219200,-93800,-,
16/09/2024,237000000,237000000,25500,29300,21700,49428,1262,6044,25600,25500,25800,25400,400,25536,25500,,,992,1198,22972,65572.0,49428,1262,73,96,-23,72400,115000,-42600,-,
13/09/2024,237000000,237000000,26000,29900,22100,59158,1510,6067,26000,25600,26000,25400,600,25528,25600,-400.0,-1.54,1267,1467,82742,100742.0,59158,1510,112,109,3,141900,159900,-18000,-,
12/09/2024,237000000,237000000,25500,29300,21700,65580,1706,6138,25800,25900,26300,25800,500,26011,25900,400.0,1.57,842,1345,48120,153620.0,65580,1706,135,163,-28,113700,219200,-105500,-,
11/09/2024,237000000,237000000,25600,29400,21800,207000,5221,6091,25800,25700,25800,25400,400,25501,25700,100.0,0.39,1442,1577,87800,73000.0,91000,2321,124,104,20,178800,164000,14800,116000,2900.0
