ID,CatID,Exchange,IndustryName,Code,Name,TotalShares,URL,Row,TotalRecord
4712,5,UPCoM,Hàng tiêu dùng và trang trí,A32,CTCP 32,6800000,https://finance.vietstock.vn/A32-ctcp-32.htm,1,3275
2541,1,HOSE,Nguyên vật liệu,AAA,CTCP Nhựa An Phát Xanh,382274496,https://finance.vietstock.vn/AAA-ctcp-nhua-an-phat-xanh.htm,2,3275
5601,5,UPCoM,Năng lượng,AAH,CTCP Hợp Nhất,117900000,https://finance.vietstock.vn/AAH-ctcp-hop-nhat.htm,3,3275
1813,1,HOSE,"Thực phẩm, đồ uống và thuốc lá",AAM,CTCP Thủy sản MeKong,12346411,https://finance.vietstock.vn/AAM-ctcp-thuy-san-mekong.htm,4,3275
1339,5,UPCoM,Dịch vụ tài chính,AAS,CTCP Chứng khoán SmartInvest ,229999521,https://finance.vietstock.vn/AAS-ctcp-chung-khoan-smartinvest.htm,5,3275
3905,1,HOSE,Hàng tiêu dùng và trang trí,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,70819103,https://finance.vietstock.vn/AAT-ctcp-tap-doan-tien-son-thanh-hoa.htm,6,3275
4522,2,HNX,Phát triển và quản lý bất động sản,AAV,CTCP AAV Group,68987661,https://finance.vietstock.vn/AAV-ctcp-aav-group.htm,7,3275
1196,5,UPCoM,Tổ chức tín dụng,ABB,Ngân hàng TMCP An Bình,1035036762,https://finance.vietstock.vn/ABB-ngan-hang-tmcp-an-binh.htm,8,3275
2920,5,UPCoM,Dịch vụ viễn thông,ABC,CTCP Truyền thông VMG,20393000,https://finance.vietstock.vn/ABC-ctcp-truyen-thong-vmg.htm,9,3275
1786,5,UPCoM,Bảo hiểm,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,72391750,https://finance.vietstock.vn/ABI-ctcp-bao-hiem-ngan-hang-nong-nghiep-viet-nam.htm,10,3275
4473,1,HOSE,Dịch vụ viễn thông,ABR,CTCP Đầu tư Nhãn hiệu Việt,20000000,https://finance.vietstock.vn/ABR-ctcp-dau-tu-nhan-hieu-viet.htm,11,3275
4784,1,HOSE,Nguyên vật liệu,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,80000000,https://finance.vietstock.vn/ABS-ctcp-dich-vu-nong-nghiep-binh-thuan.htm,12,3275
783,1,HOSE,"Thực phẩm, đồ uống và thuốc lá",ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,14387207,https://finance.vietstock.vn/ABT-ctcp-xuat-nhap-khau-thuy-san-ben-tre.htm,13,3275
1318,5,UPCoM,Dịch vụ tài chính,ABW,CTCP Chứng khoán An Bình,101150000,https://finance.vietstock.vn/ABW-ctcp-chung-khoan-an-binh.htm,14,3275
885,1,HOSE,Tổ chức tín dụng,ACB,Ngân hàng TMCP Á Châu,4466657912,https://finance.vietstock.vn/ACB-ngan-hang-tmcp-a-chau.htm,15,3275
2041,1,HOSE,Nguyên vật liệu,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,104999993,https://finance.vietstock.vn/ACC-ctcp-dau-tu-va-xay-dung-binh-duong-acc.htm,16,3275
1525,5,UPCoM,Nguyên vật liệu,ACE,CTCP Bê tông Ly tâm An Giang,3050781,https://finance.vietstock.vn/ACE-ctcp-be-tong-ly-tam-an-giang.htm,17,3275
4793,1,HOSE,Nguyên vật liệu,ACG,CTCP Gỗ An Cường,150787946,https://finance.vietstock.vn/ACG-ctcp-go-an-cuong.htm,18,3275
936,1,HOSE,"Thực phẩm, đồ uống và thuốc lá",ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,50159019,https://finance.vietstock.vn/ACL-ctcp-xuat-nhap-khau-thuy-san-cuu-long-an-giang.htm,19,3275
4027,5,UPCoM,Nguyên vật liệu,ACM,CTCP Tập đoàn Khoáng sản Á Cường,51000000,https://finance.vietstock.vn/ACM-ctcp-tap-doan-khoang-san-a-cuong.htm,20,3275
1997,5,UPCoM,Tư liệu sản xuất,ACS,CTCP Xây lắp Thương mại 2,4000000,https://finance.vietstock.vn/ACS-ctcp-xay-lap-thuong-mai-2.htm,21,3275
4052,5,UPCoM,Vận tải,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,2177173236,https://finance.vietstock.vn/ACV-tong-cong-ty-cang-hang-khong-viet-nam-ctcp.htm,22,3275
2486,2,HNX,Truyền thông và giải trí,ADC,CTCP Mỹ thuật và Truyền thông,3977936,https://finance.vietstock.vn/ADC-ctcp-my-thuat-va-truyen-thong.htm,23,3275
4779,1,HOSE,Truyền thông và giải trí,ADG,CTCP Clever Group,21380521,https://finance.vietstock.vn/ADG-ctcp-clever-group.htm,24,3275
2017,1,HOSE,Nguyên vật liệu,ADP,CTCP Sơn Á Đông,23039850,https://finance.vietstock.vn/ADP-ctcp-son-a-dong.htm,25,3275
3181,1,HOSE,Hàng tiêu dùng và trang trí,ADS,CTCP Damsan,76394727,https://finance.vietstock.vn/ADS-ctcp-damsan.htm,26,3275
